72,72,Demi Lovato,female,27,person,US,n/a,n/a,Albuquerque,n/a,,
73,73,Offset,male,0,person,,Atlanta,n/a,,,,
74,74,Anitta,female,27,person,BR,n/a,n/a,Rio de Janeiro,n/a,,
75,75,Lady Gaga,female,34,person,US,n/a,n/a,n/a,Manhattan,,
76,76,ZAYN,male,27,person,GB,n/a,n/a,Bradford,n/a,,
77,77,Roddy Ricch,male,21,person,US,n/a,n/a,Compton,n/a,,
78,78,Lil Wayne,male,37,person,,Miami Beach,n/a,New Orleans,n/a,,
79,79,Darell,male,0,person,PR,n/a,n/a,,,,
80,80,Marília Mendonça,female,25,person,BR,n/a,n/a,n/a,n/a,,
81,81,Lauv,male,25,person,US,n/a,n/a,San Francisco,n/a,,
82,82,Jonas Blue,male,30,person,GB,n/a,n/a,London,n/a,,
83,83,Tyga,male,30,person,US,n/a,n/a,Compton,n/a,,
84,84,Ellie Goulding,female,33,person,,n/a,n/a,Lyonshall,n/a,,
85,85,Queen,mixed,50,group,GB,n/a,n/a,London,n/a,,
86,86,Lewis Capaldi,male,23,person,GB,n/a,n/a,Glasgow,n/a,,
87,87,Dalex,male,29,person,PR,n/a,n/a,Philadelphia,n/a,,
88,88,MØ,female,31,person,DK,n/a,n/a,Odense,n/a,,
89,89,Alessia Cara,female,24,person,CA,n/a,n/a,Brampton,n/a,,
90,90,Twenty One Pilots,mixed,11,group,US,n/a,n/a,Columbus,n/a,,
91,91,Chris Brown,male,31,person,US,n/a,n/a,Tappahannock,n/a,,
92,92,Kodak Black,male,23,person,US,n/a,n/a,Pompano Beach,n/a,,
93,93,6ix9ine,male,24,person,US,n/a,n/a,Bushwick,n/a,,
94,94,Gucci Mane,male,40,person,,Atlanta,n/a,Birmingham,n/a,,
95,95,Becky G,female,23,person,US,n/a,n/a,Inglewood,n/a,,
96,96,Alan Walker,male,22,person,NO,n/a,n/a,Northampton,n/a,,
97,97,Natti Natasha,female,33,person,DO,n/a,n/a,Santiago de los Caballeros,n/a,,
98,98,Paulo Londra,male,0,person,AR,n/a,n/a,,,,
99,99,G-Eazy,male,31,person,US,n/a,n/a,Oakland,n/a,,
100,100,Katy Perry,female,35,person,US,n/a,n/a,Santa Barbara,n/a,,
101,101,Robin Schulz,male,33,person,DE,n/a,n/a,Osnabrück,n/a,,
102,102,Lil Nas X,male,21,person,,Atlanta,n/a,,,,
103,103,Chance the Rapper,male,27,person,,Chicago,n/a,Chicago,n/a,,
104,104,Capital Bra,male,25,person,DE,n/a,n/a,n/a,n/a,,
105,105,Justin Quiles,male,30,person,PR,n/a,n/a,Bridgeport,n/a,,
106,106,Logic,male,30,person,US,n/a,n/a,Gaithersburg,n/a,,
107,107,Harry Styles,male,26,person,GB,n/a,n/a,Redditch,n/a,,
108,108,Piso 21,mixed,0,group,CO,n/a,n/a,,,,
109,109,Tones and I,female,0,person,AU,n/a,n/a,n/a,n/a,,
110,110,A Boogie Wit da Hoodie,male,24,person,US,n/a,n/a,n/a,The Bronx,,
111,111,Diplo,male,41,person,,Los Angeles,n/a,Tupelo,n/a,,
112,112,James Arthur,male,32,person,GB,n/a,n/a,n/a,n/a,,
113,113,Rita Ora,female,29,person,GB,n/a,n/a,n/a,n/a,,
114,114,Big Sean,male,32,person,,Detroit,n/a,Santa Monica,n/a,,
115,115,DJ Khaled,male,44,person,US,n/a,n/a,New Orleans,n/a,,
116,116,Fetty Wap,male,30,person,US,n/a,n/a,Paterson,n/a,,
117,117,Daft Punk,mixed,27,group,FR,n/a,n/a,Paris,n/a,,
118,118,Gunna,male,27,person,US,n/a,n/a,College Park,n/a,,
119,119,Myke Towers,male,26,person,PR,n/a,n/a,Las Piedras,n/a,,
120,120,French Montana,male,35,person,,n/a,The Bronx,Rabat,n/a,,
